#,Company,Symbol,Weight,Price,Chg,% Chg
465,IPG Photonics Corporation,IPGP,0.019455,112.83,2.89,(2.63%)
466,Lincoln National Corporation,LNC,0.019245,18.81,-0.41,(-2.13%)
467,Royal Caribbean Cruises Ltd.,RCL,0.01914,24.41,2.00,(8.94%)
468,Invesco Ltd.,IVZ,0.018955,8.87,-0.97,(-9.86%)
469,News Corporation Class A,NWSA,0.018124,9.16,-0.51,(-5.27%)
470,Ralph Lauren Corporation Class A,RL,0.017567,70.13,-0.40,(-0.56%)
471,Tapestry Inc.,TPR,0.017565,12.57,-0.14,(-1.10%)
472,Fox Corporation Class B,FOX,0.017542,21.19,-0.75,(-3.42%)
473,Sealed Air Corporation,SEE,0.017172,24.55,2.55,(11.59%)
474,Leggett & Platt Incorporated,LEG,0.016917,24.59,-1.56,(-5.97%)
475,Discovery Inc. Class A,DISCA,0.016697,19.41,-1.81,(-8.53%)
476,Hanesbrands Inc.,HBI,0.016651,9.25,0.06,(0.65%)
477,Xerox Holdings Corporation,XRX,0.016617,17.51,0.05,(0.29%)
478,DXC Technology Co.,DXC,0.016337,12.66,0.19,(1.52%)
479,HollyFrontier Corporation,HFC,0.015886,21.24,0.26,(1.24%)
480,Marathon Oil Corporation,MRO,0.015403,3.69,-0.14,(-3.66%)
481,Diamondback Energy Inc.,FANG,0.015245,19.96,1.27,(6.80%)
482,Alaska Air Group Inc.,ALK,0.014883,24.56,0.38,(1.57%)
483,Harley-Davidson Inc.,HOG,0.014825,17.42,-1.27,(-6.80%)
484,H&R Block Inc.,HRB,0.014762,13.76,-0.99,(-6.71%)
485,Mosaic Company,MOS,0.014331,9.55,1.33,(16.18%)
486,Kohl's Corporation,KSS,0.013673,16.24,-0.94,(-5.47%)
487,Flowserve Corporation,FLS,0.01318,21.21,0.62,(3.01%)
488,TechnipFMC Plc,FTI,0.012733,6.64,0.58,(9.57%)
489,Devon Energy Corporation,DVN,0.012706,6.89,0.34,(5.19%)
490,PVH Corp.,PVH,0.012556,33.08,-0.82,(-2.42%)
491,L Brands Inc.,LB,0.012057,10.18,-0.56,(-5.21%)
492,Unum Group,UNM,0.011291,11.56,0.74,(6.84%)
493,Nordstrom Inc.,JWN,0.011175,19.76,-1.50,(-7.04%)
494,Macy's Inc,M,0.0103,6.35,-0.34,(-5.08%)
495,Noble Energy Inc.,NBL,0.009486,3.99,0.05,(1.27%)
496,Apache Corporation,APA,0.009258,5.32,0.37,(7.47%)
497,Norwegian Cruise Line Holdings Ltd.,NCLH,0.008889,9.02,0.79,(9.62%)
498,Gap Inc.,GPS,0.008688,7.75,-0.32,(-3.97%)
499,Under Armour Inc. Class A,UAA,0.00824,8.76,-0.30,(-3.31%)
500,Under Armour Inc. Class C,UA,0.007757,7.76,-0.25,(-3.12%)
501,Capri Holdings Limited,CPRI,0.007618,9.47,-0.55,(-5.49%)
502,Helmerich & Payne Inc.,HP,0.007048,13.59,0.79,(6.17%)
503,Coty Inc. Class A,COTY,0.006038,4.68,0.66,(16.29%)
504,News Corporation Class B,NWS,0.005747,8.67,-0.65,(-6.97%)
505,Alliance Data Systems Corporation,ADS,0.005204,28.78,3.40,(13.40%)
